,Gauss,Estimators,Learning Rate,Confusion Matrix,Confusion Matrix
0,1,50,0.5,"[268, 38, 158, 13]","[67, 238, 22, 150]"
1,1,50,0.75,"[306, 0, 171, 0]","[89, 216, 43, 129]"
2,1,50,1.0,"[304, 2, 167, 4]","[280, 25, 155, 17]"
3,1,100,0.5,"[268, 38, 158, 13]","[67, 238, 22, 150]"
4,1,100,0.75,"[43, 263, 26, 145]","[89, 216, 43, 129]"
5,1,100,1.0,"[304, 2, 167, 4]","[283, 22, 158, 14]"
6,1,150,0.5,"[268, 38, 158, 13]","[67, 238, 22, 150]"
7,1,150,0.75,"[295, 11, 159, 12]","[89, 216, 43, 129]"
8,1,150,1.0,"[304, 2, 167, 4]","[248, 57, 126, 46]"
9,0,50,0.5,"[277, 29, 136, 35]","[286, 19, 136, 36]"
10,0,50,0.75,"[276, 30, 133, 38]","[284, 21, 134, 38]"
11,0,50,1.0,"[276, 30, 131, 40]","[283, 22, 134, 38]"
12,0,100,0.5,"[276, 30, 131, 40]","[284, 21, 134, 38]"
13,0,100,0.75,"[276, 30, 131, 40]","[283, 22, 134, 38]"
14,0,100,1.0,"[277, 29, 131, 40]","[283, 22, 134, 38]"
15,0,150,0.5,"[276, 30, 131, 40]","[283, 22, 134, 38]"
16,0,150,0.75,"[277, 29, 131, 40]","[283, 22, 134, 38]"
17,0,150,1.0,"[277, 29, 131, 40]","[283, 22, 135, 37]"
